Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/estudiantes/,218,0,35,38.81678165161156,30.092899993178435,152.21619998919778,968.4770642201835,2.095017187096519,0.0,35,36,37,38,41,45,140,140,150,150,150
POST,/api/estudiantes/,88,0,36,40.95947386304033,29.229199994006194,150.2551999874413,85.02272727272727,0.8456950113050169,0.0,36,40,42,46,51,55,140,150,150,150,150
GET,/api/estudiantes/10/,5,0,33,33.11429999594111,31.82199998991564,34.496399995987304,83.4,0.04805085291505778,0.0,33,33,33,34,34,34,34,34,34,34,34
PUT,/api/estudiantes/10/,1,0,38.926100009121,38.926100009121,38.926100009121,38.926100009121,89.0,0.009610170583011557,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/estudiantes/11/,7,0,35,34.32132857311184,32.16070000780746,36.89420000591781,88.0,0.0672711940810809,0.0,35,35,37,37,37,37,37,37,37,37,37
PUT,/api/estudiantes/11/,2,0,35.168899994459935,37.11520000069868,35.168899994459935,39.06150000693742,89.0,0.019220341166023114,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/api/estudiantes/12/,3,0,33,34.64533333317377,32.148500002222136,38.61289999622386,89.0,0.028830511749034667,0.0,33,33,39,39,39,39,39,39,39,39,39
PUT,/api/estudiantes/12/,5,0,36,55.01188000198454,32.21599999233149,134.37340001109987,89.0,0.04805085291505778,0.0,36,38,38,130,130,130,130,130,130,130,130
GET,/api/estudiantes/13/,2,0,33,41.28569999738829,32.804300004499964,49.76709999027662,85.5,0.019220341166023114,0.0,50,50,50,50,50,50,50,50,50,50,50
PUT,/api/estudiantes/13/,7,0,37,36.73247142744783,31.84940000937786,42.26859999471344,89.0,0.0672711940810809,0.0,37,37,40,40,42,42,42,42,42,42,42
GET,/api/estudiantes/14/,4,0,34,33.9303500004462,29.821999996784143,37.130299999262206,87.25,0.03844068233204623,0.0,35,35,37,37,37,37,37,37,37,37,37
PUT,/api/estudiantes/14/,3,0,38,37.97603333562923,37.478000012924895,38.88310000183992,89.0,0.028830511749034667,0.0,38,38,39,39,39,39,39,39,39,39,39
GET,/api/estudiantes/15/,7,0,36,38.37274285823306,31.022299997857772,49.62970000633504,88.0,0.0672711940810809,0.0,36,40,47,47,50,50,50,50,50,50,50
PUT,/api/estudiantes/15/,6,0,33,35.054933335535075,31.770800007507205,39.967199991224334,89.0,0.057661023498069335,0.0,35,35,37,37,40,40,40,40,40,40,40
GET,/api/estudiantes/16/,4,0,32,33.597600002394756,31.194300012430176,37.699199994676746,89.0,0.03844068233204623,0.0,34,34,38,38,38,38,38,38,38,38,38
PUT,/api/estudiantes/16/,3,0,39,40.640166659917064,33.12749999167863,50.099000000045635,89.0,0.028830511749034667,0.0,39,39,50,50,50,50,50,50,50,50,50
GET,/api/estudiantes/17/,2,0,32.27779999724589,34.31624999939231,32.27779999724589,36.35470000153873,89.0,0.019220341166023114,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/api/estudiantes/17/,3,0,33,34.13553333181577,32.72309999738354,36.19879999314435,89.0,0.028830511749034667,0.0,33,33,36,36,36,36,36,36,36,36,36
GET,/api/estudiantes/18/,4,0,34,35.66875000251457,32.625599997118115,39.32150000764523,89.0,0.03844068233204623,0.0,36,36,39,39,39,39,39,39,39,39,39
PUT,/api/estudiantes/18/,5,0,35,34.6629200008465,31.971799995517358,36.13829999812879,89.0,0.04805085291505778,0.0,35,35,35,36,36,36,36,36,36,36,36
GET,/api/estudiantes/19/,1,0,33.88380000251345,33.88380000251345,33.88380000251345,33.88380000251345,89.0,0.009610170583011557,0.0,34,34,34,34,34,34,34,34,34,34,34
